Radome Make,Radome Model,Serial Number,Mark Code,Installation Date,Removal Date
Leica Geosystems,LEIS Radome,324,DUNT,1999-09-23T00:00:00Z,9999-01-01T00:00:00Z
Leica Geosystems,LEIS Radome,332,WGTT,1999-12-14T00:00:00Z,2000-06-29T03:00:00Z
Leica Geosystems,LEIS Radome,332,TAKL,2001-07-11T00:00:00Z,9999-01-01T00:00:00Z
Leica Geosystems,LEIS Radome,333,WGTT,2000-06-29T03:00:00Z,2000-08-18T00:00:00Z
Leica Geosystems,LEIS Radome,333,WGTT,2000-08-18T00:00:00Z,9999-01-01T00:00:00Z
Leica Geosystems,LEIS Radome,405,LYTT,1999-11-15T00:00:00Z,9999-01-01T00:00:00Z
Leica Geosystems,LEIS Radome,11753,WGTN,1999-11-11T00:00:00Z,2005-03-21T00:00:00Z
Leica Geosystems,LEIS Radome,0220148020,MQZG,1999-09-27T00:00:00Z,2000-01-21T00:00:00Z
Leica Geosystems,LEIS Radome,0220148020,MQZG,2000-01-21T00:00:00Z,2001-09-03T00:00:00Z
Leica Geosystems,LEIS Radome,CR13573,HOKI,2000-01-20T00:00:00Z,2003-09-06T00:00:00Z
Thales,SCIS Radome,0220063995,CNCL,2000-08-03T00:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220066912,MTJO,2000-08-15T00:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220067545,WAKA,2000-11-02T00:00:00Z,2001-12-13T00:00:00Z
Thales,SCIS Radome,0220067548,CNCL,2000-02-05T00:00:00Z,2000-03-09T00:00:00Z
Thales,SCIS Radome,0220067548,CNCL,2000-03-09T00:00:00Z,2000-08-03T00:00:00Z
Thales,SCIS Radome,0220067548,WAKA,2002-05-31T00:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220073544,NETT,2000-02-07T00:00:00Z,2000-02-10T00:00:00Z
Thales,SCIS Radome,0220073544,NETT,2000-02-10T00:00:00Z,2008-03-18T04:00:01Z
Thales,SCIS Radome,0220190193,KARA,2000-02-05T00:00:00Z,2000-03-09T00:00:00Z
Thales,SCIS Radome,0220190193,KARA,2000-03-09T00:00:00Z,2004-11-29T00:00:00Z
Thales,SCIS Radome,0220190193,KARA,2004-11-29T00:00:00Z,2004-12-04T18:30:00Z
Thales,SCIS Radome,0220190270,QUAR,2000-02-05T00:00:00Z,2000-03-09T00:00:00Z
Thales,SCIS Radome,0220190270,QUAR,2000-03-09T00:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,0220227659,KARA,2004-12-04T00:00:00Z,9999-01-01T00:00:00Z
Thales,SCIS Radome,CR519993905,MQZG,2001-09-03T00:00:00Z,2005-02-28T00:00:00Z
Thales,SCIS Radome,CRN120000601,PAEK,2000-04-11T00:00:00Z,2006-09-10T23:35:00Z
Thales,SNOW Radome,11753,WGTN,1996-05-23T00:00:00Z,1999-11-11T00:00:00Z
Thales,SNOW Radome,12477,NIUC,1996-11-13T00:00:00Z,9999-01-01T00:00:00Z
Thales,SNOW Radome,12627,FALE,1996-11-12T00:00:00Z,2003-09-18T00:00:00Z
Thales,SNOW Radome,CR16098,HOKI,1998-07-06T00:00:00Z,2000-01-20T00:00:00Z
Thales,SNOW Radome,CR620022305,FALE,2003-09-18T00:00:00Z,2010-10-21T22:10:01Z
